ApplicationID,StageName,ReviewedDate,ReviewedBy,ActionTaken
15941,Medical Check,2025-07-08,Lalith Yogarajah,Approved
15942,Initial Review,2025-07-14,Tilak de Silva,Hold
15942,Medical Check,2024-11-01,Anne Dharmasena,Rejected
15942,Final Approval,2025-03-28,Akila Zoysa,Rejected
15943,Visa Processing,2025-01-02,Vishaka Yapa,Approved
15943,Medical Check,2025-05-21,Vijitha Alwis,Hold
15944,Visa Processing,2025-01-15,Aloka Xavier,Hold
15944,Initial Review,2025-04-23,Kalani Yapa,Approved
15944,Medical Check,2025-01-07,Anjali Opatha,Rejected
15945,Interview,2024-07-19,Lahiru de Silva,Pending
15945,Final Approval,2025-08-13,Adeesha Kumara,Hold
15946,Initial Review,2025-08-07,Yohan Wickramasinghe,Approved
15946,Interview,2025-08-04,Sashika Kumara,Rejected
15946,Medical Check,2025-07-29,Yasith Udayanga,Rejected
15947,Medical Check,2025-02-25,Eshika Liyanage,Rejected
15947,Initial Review,2025-06-26,Gayan Basnayake,Hold
15948,Medical Check,2025-08-20,Ranil Jaleel,Approved
15948,Final Approval,2025-08-20,Dilani de Silva,Rejected
15949,Visa Processing,2025-01-23,Thilini Rizvi,Hold
15949,Final Approval,2025-04-19,Jayani Zuhair,Pending
15949,Initial Review,2024-10-29,Chamara Jaleel,Hold
15950,Initial Review,2025-03-08,Buddhini Perera,Approved
15950,Final Approval,2024-12-31,Pasindu Karunaratne,Approved
15950,Visa Processing,2024-11-15,Abhaya Wijesinghe,Pending
15951,Interview,2025-08-11,Sashika Wickramasinghe,Rejected
15951,Visa Processing,2025-07-22,Jagath Xavier,Approved
15951,Medical Check,2025-06-17,Ayesha Munasinghe,Hold
15952,Final Approval,2025-08-19,Wathsala Jaleel,Hold
15952,Medical Check,2025-06-15,Yohan Dissanayake,Rejected
15953,Interview,2024-04-23,Wimal Xavier,Pending
15953,Visa Processing,2025-01-01,Ayesha Samarasinghe,Rejected
15953,Final Approval,2024-12-05,Rashmi Ekanayake,Pending
15954,Interview,2025-06-13,Upul Ranaweera,Hold
15955,Initial Review,2025-07-19,Saman Opatha,Rejected
15955,Medical Check,2025-07-15,Udaya Basnayake,Hold
15956,Interview,2024-05-22,Mahinda Jayaweera,Pending
15957,Visa Processing,2024-12-19,Mahinda Fernando,Approved
15957,Medical Check,2024-08-10,Thushari Dias,Rejected
15958,Visa Processing,2025-07-30,Nalaka Basnayake,Hold
15958,Medical Check,2025-06-28,Buddhini Udayanga,Hold
15958,Initial Review,2025-06-09,Kapila Dias,Rejected
15959,Initial Review,2025-04-23,Chandana Senanayake,Pending
15960,Interview,2024-04-13,Harsha Ponnambalam,Rejected
15960,Initial Review,2025-02-12,Adeesha Sivapragasam,Pending
15961,Initial Review,2025-01-29,Madushika Ratnayake,Hold
15962,Interview,2025-04-19,Bandula Jayaweera,Approved
15963,Visa Processing,2025-08-08,Nadeesha Udayanga,Approved
15963,Interview,2025-07-23,Yohan Fonseka,Approved
15963,Final Approval,2025-07-19,Soha Kulathunga,Pending
15964,Interview,2025-07-24,Ranil Ibrahim,Approved
15965,Visa Processing,2024-01-07,Zara Hewage,Rejected
15966,Visa Processing,2025-02-19,Jagath Perera,Rejected
15966,Interview,2024-10-30,Sana Hewage,Rejected
15966,Initial Review,2025-02-22,Wathsala Wickramasinghe,Pending
15967,Visa Processing,2025-05-30,Ranil Senanayake,Pending
15968,Medical Check,2024-02-18,Gayan de Silva,Hold
15969,Medical Check,2025-05-12,Chandrika Ratnayake,Rejected
15969,Interview,2024-09-23,Buddhika Senanayake,Approved
15969,Initial Review,2024-06-17,Gayan Udayanga,Rejected
15970,Final Approval,2024-05-24,Jagath Samarasinghe,Rejected
15970,Initial Review,2024-10-01,Anura Wijesinghe,Approved
15970,Visa Processing,2024-04-15,Nishani Peiris,Pending
15971,Interview,2024-11-16,Gayani Senanayake,Pending
15971,Medical Check,2025-06-03,Udeshika Chandrasekara,Rejected
15971,Initial Review,2025-01-18,Wimal Senanayake,Rejected
15972,Final Approval,2025-04-27,Lasantha Peiris,Rejected
15973,Visa Processing,2025-05-06,Lalith Samarasinghe,Rejected
15973,Medical Check,2025-08-01,Sampath Ibrahim,Pending
15974,Final Approval,2025-08-07,Oshadi Abeysinghe,Pending
15975,Initial Review,2025-03-06,Yasith Thangavelu,Pending
15975,Medical Check,2025-02-27,Thilini Herath,Hold
15976,Medical Check,2025-08-15,Jayantha Rajapaksa,Rejected
15976,Visa Processing,2025-07-06,Eshini Opatha,Approved
15977,Final Approval,2025-04-19,Sarath Ibrahim,Approved
15977,Initial Review,2025-05-12,Asanka Madugalle,Hold
15978,Medical Check,2025-06-10,Zahran Basnayake,Hold
15979,Final Approval,2024-07-27,Sunil Zoysa,Rejected
15980,Medical Check,2025-06-27,Tharushi Gamage,Pending
15981,Initial Review,2025-08-10,Gayan Opatha,Rejected
15981,Final Approval,2025-08-11,Lasantha Fonseka,Pending
15982,Interview,2025-02-27,Inoka Thilakarathna,Hold
15982,Medical Check,2025-08-06,Anura Lokuhetti,Pending
15982,Initial Review,2025-04-05,Amarasiri Weerakoon,Approved
15983,Initial Review,2024-10-16,Yashodha Amarasinghe,Rejected
15984,Visa Processing,2025-06-02,Nalaka Jaleel,Hold
15985,Visa Processing,2025-02-21,Adeesha Vithanage,Hold
15985,Medical Check,2025-03-08,Adeesha Thilakarathna,Approved
15985,Interview,2025-02-16,Mohamed Cooray,Hold
15986,Medical Check,2023-11-11,Ibrahim Edirisinghe,Hold
15986,Visa Processing,2024-10-05,Pradeep Fonseka,Hold
15986,Final Approval,2025-07-13,Achini Ilangakoon,Hold
15987,Final Approval,2024-11-01,Lalith Edirisinghe,Rejected
15988,Final Approval,2024-10-18,Zainab Abeysinghe,Pending
15989,Initial Review,2025-07-20,Gayan Balasuriya,Approved
15990,Interview,2025-08-12,Kapila Jayawardena,Rejected
15991,Interview,2025-05-31,Soha Bandara,Rejected
15992,Visa Processing,2024-11-29,Sanduni Wickramasinghe,Approved
15993,Final Approval,2024-12-28,Kapila Sivapragasam,Rejected
15994,Final Approval,2024-04-23,Asanga Ekanayake,Hold
15994,Visa Processing,2025-07-03,Asanka Rajapaksa,Approved
15995,Interview,2025-01-24,Zainab Hettiarachchi,Hold
15995,Visa Processing,2025-05-29,Rohan Vigneswaran,Hold
15995,Initial Review,2024-08-15,Chandrika Nanayakkara,Hold
15996,Interview,2025-08-15,Chathurika Kodithuwakku,Hold
15997,Final Approval,2025-08-11,Sunil Galappaththi,Approved
15997,Interview,2025-07-18,Thilina Vithanage,Rejected
15997,Visa Processing,2025-07-16,Indrani Guneratne,Rejected
15998,Initial Review,2025-05-25,Vishaka Hewage,Approved
15998,Medical Check,2025-04-17,Hansika Nadarajah,Approved
15998,Visa Processing,2025-02-28,Nadeesha Herath,Approved
15999,Initial Review,2024-05-04,Gamini Jayawardena,Hold
15999,Interview,2025-06-18,Chaminda Uthayakumar,Rejected
16000,Initial Review,2025-07-16,Tharushi Alwis,Rejected
16000,Medical Check,2024-12-25,Sanjaya Vithanage,Pending
16000,Visa Processing,2024-12-16,Ayesha Quintus,Pending
16001,Initial Review,2025-06-27,Kasun Basnayake,Approved
16001,Visa Processing,2025-05-13,Rashmi Peiris,Pending
16002,Medical Check,2025-05-30,Anura Karunaratne,Hold
16003,Initial Review,2025-06-18,Jayani Ponnambalam,Pending
16003,Interview,2025-06-26,Dinesh Hettiarachchi,Pending
16004,Final Approval,2025-03-14,Thushari Amarasinghe,Approved
16004,Visa Processing,2024-12-01,Sunil Balasuriya,Rejected
16005,Interview,2025-01-13,Pasindu Jayaweera,Hold
16006,Initial Review,2025-06-07,Akila Herath,Pending
16006,Medical Check,2025-03-27,Jagath Hewage,Hold
16006,Visa Processing,2025-04-30,Sana Nanayakkara,Approved
16007,Visa Processing,2025-07-04,Ranjith Kumara,Approved
16007,Interview,2025-05-05,Sashika Kumara,Rejected
16007,Final Approval,2025-07-25,Jayantha Dharmasena,Pending
16008,Medical Check,2025-07-09,Ayesha Cooray,Rejected
16009,Final Approval,2025-05-20,Saisha Kumara,Hold
16009,Visa Processing,2024-10-31,Nuwan Vigneswaran,Pending
16010,Final Approval,2024-09-24,Vishaka Ekanayake,Rejected
16011,Medical Check,2025-04-27,Hiba Edirisinghe,Pending
16011,Interview,2024-07-30,Nishani Wijesinghe,Approved
16011,Visa Processing,2025-07-05,Prasad Dias,Hold
16012,Interview,2025-08-05,Abhaya Senanayake,Rejected
16012,Final Approval,2024-12-15,Vishaka Pathirana,Rejected
16012,Medical Check,2025-07-05,Ruwini Rajapaksa,Approved
16013,Final Approval,2025-01-08,Ruwini Weerasinghe,Rejected
16013,Interview,2024-11-19,Janaka Jayaweera,Pending
16013,Initial Review,2025-03-12,Dilshan Peiris,Approved
16014,Initial Review,2025-03-11,Jayantha Pathirana,Rejected
16015,Final Approval,2025-04-17,Lahiru Lokuhetti,Rejected
16016,Interview,2024-12-03,Isuru Amarasinghe,Rejected
16016,Medical Check,2025-03-08,Jayani Samarasinghe,Approved
16016,Final Approval,2025-03-12,Bandula Weerakoon,Pending
16017,Visa Processing,2025-08-02,Chathurika Hettiarachchi,Hold
16017,Medical Check,2024-12-01,Asanka Gunawardena,Hold
16018,Initial Review,2025-03-14,Saman Rizvi,Hold
16018,Visa Processing,2025-07-23,Nimal Lokuhetti,Pending
16019,Medical Check,2025-08-18,Priyantha Abeysinghe,Hold
16020,Interview,2025-08-11,Saisha Kumara,Pending
16020,Initial Review,2025-06-23,Lasika Opatha,Rejected
16020,Final Approval,2025-06-01,Yashodha Vigneswaran,Rejected
16021,Final Approval,2024-04-14,Nimal Fonseka,Hold
16021,Initial Review,2024-09-18,Inoka Ranaweera,Hold
16022,Interview,2025-05-30,Eshini Yogarajah,Pending
16022,Visa Processing,2025-07-05,Tharushi Kodithuwakku,Pending
16023,Visa Processing,2024-04-09,Nadeeka Rajapaksa,Rejected
16024,Initial Review,2025-01-22,Tharushi Jayaweera,Pending
16024,Final Approval,2025-08-04,Janani Rajapaksa,Pending
16025,Initial Review,2024-07-28,Kasun Kulathunga,Pending
16026,Final Approval,2024-07-04,Indika Pathirana,Hold
16026,Interview,2025-02-03,Lalith Edirisinghe,Rejected
16026,Visa Processing,2025-07-06,Madhavi de Silva,Rejected
16027,Medical Check,2025-08-04,Bhagya Kulathunga,Approved
16028,Interview,2025-01-16,Oshan Fonseka,Approved
16028,Final Approval,2025-02-10,Soha Hettiarachchi,Pending
16029,Initial Review,2025-01-30,Eshini Basnayake,Pending
16029,Interview,2025-03-20,Shey Samarasinghe,Rejected
16030,Final Approval,2025-02-10,Achini Dias,Hold
16030,Initial Review,2025-01-21,Jayantha Xavier,Pending
16030,Interview,2025-06-16,Hiba Xavier,Hold
16031,Interview,2025-06-23,Nadeeka Yapa,Hold
16031,Medical Check,2024-05-08,Pasindu Dissanayake,Hold
16032,Visa Processing,2025-04-18,Udaya Thilakarathna,Rejected
16032,Interview,2025-05-30,Dilani Thilakarathna,Hold
16032,Final Approval,2025-07-15,Zahran Thangavelu,Pending
16033,Initial Review,2025-06-24,Shashika Yapa,Hold
16033,Visa Processing,2025-06-08,Viraj Peiris,Approved
16034,Final Approval,2025-07-30,Oshadi Ekanayake,Pending
16034,Medical Check,2025-07-10,Zahran Yapa,Rejected
16035,Medical Check,2024-12-19,Lasantha Samarasinghe,Hold
16036,Final Approval,2025-08-07,Upeksha Dissanayake,Rejected
16036,Medical Check,2025-06-26,Sana Jayawardena,Hold
16037,Visa Processing,2025-01-27,Suranga Yogarajah,Rejected
16038,Medical Check,2025-07-27,Asanga Gamage,Pending
16038,Visa Processing,2025-05-21,Prabha Ilangakoon,Approved
16038,Final Approval,2025-05-17,Yasara Dissanayake,Approved
16039,Interview,2025-07-13,Deepthi Gunawardena,Approved
16039,Initial Review,2024-05-10,Buddhika Ibrahim,Rejected
16040,Medical Check,2025-05-10,Gayan Kodithuwakku,Pending
16040,Initial Review,2025-07-08,Mahinda Hettiarachchi,Hold
16041,Initial Review,2025-05-19,Kanchana Kodithuwakku,Hold
16042,Interview,2025-05-12,Udeshika Quintus,Rejected
16042,Visa Processing,2025-07-10,Prasad Lokuhetti,Rejected
16042,Final Approval,2025-03-22,Lasika Sivapragasam,Pending
16043,Final Approval,2025-03-26,Thilina Dias,Pending
16044,Visa Processing,2025-06-16,Suranga Jaleel,Approved
16044,Interview,2024-11-02,Gayani Cooray,Approved
16044,Final Approval,2025-05-07,Roshini Pathirana,Pending
16045,Medical Check,2024-11-15,Chaminda Alwis,Pending
16045,Visa Processing,2025-06-19,Queenie Dharmasena,Approved
16045,Final Approval,2025-03-25,Roshini Dissanayake,Rejected
16046,Final Approval,2024-04-04,Dilshan Dias,Rejected
16046,Initial Review,2024-03-29,Hiba Galappaththi,Rejected
16047,Visa Processing,2025-08-20,Viraj Quintus,Approved
16047,Interview,2025-07-07,Queenie Kumara,Approved
16048,Medical Check,2025-07-05,Tharaka Chandrasekara,Approved
16048,Initial Review,2025-05-20,Zainab Yapa,Approved
16048,Interview,2025-08-20,Ranjith Bandara,Rejected
16049,Final Approval,2023-10-30,Chandana Weerasinghe,Rejected
16050,Medical Check,2024-05-20,Nirosha Senanayake,Pending
16051,Medical Check,2025-08-02,Harshani Dias,Rejected
16052,Final Approval,2025-03-07,Nimal Quintus,Rejected
16052,Visa Processing,2025-01-03,Dilani Xavier,Rejected
16052,Interview,2024-08-21,Akila Amarasinghe,Rejected
16053,Final Approval,2025-06-15,Eshika Peiris,Rejected
16053,Medical Check,2024-05-17,Isuru Galappaththi,Pending
16054,Final Approval,2025-05-26,Rohan Thilakarathna,Pending
16054,Medical Check,2025-04-07,Chamara Lokuhetti,Rejected
16054,Visa Processing,2025-05-13,Achini Yapa,Approved
16055,Final Approval,2025-03-13,Prasad Kulathunga,Pending
16055,Initial Review,2025-06-27,Nadeeka Yapa,Hold
16055,Interview,2025-07-25,Mahinda Wijesinghe,Approved
16056,Visa Processing,2025-05-30,Ranjith Samarasinghe,Pending
16056,Final Approval,2025-05-03,Eshika Dharmasena,Rejected
16056,Interview,2024-11-19,Bandula Zuhair,Hold
16057,Visa Processing,2025-05-24,Achini Nadarajah,Rejected
16058,Visa Processing,2025-03-24,Hiba Chandrasekara,Hold
16058,Medical Check,2024-08-15,Thilina Nadarajah,Approved
16058,Initial Review,2025-07-01,Nalaka Ilangakoon,Hold
16059,Initial Review,2025-04-21,Anura Lokuhetti,Rejected
16059,Medical Check,2025-01-04,Menaka Lokuhetti,Pending
16059,Interview,2025-01-15,Eshika Gunawardena,Approved
16060,Visa Processing,2024-03-04,Udaya Herath,Rejected
16061,Medical Check,2025-03-31,Aloka Galappaththi,Pending
16061,Final Approval,2025-08-13,Thilini Opatha,Hold
16061,Initial Review,2025-06-12,Lasantha Herath,Rejected
16062,Medical Check,2025-08-08,Buddhika Pathirana,Approved
16062,Final Approval,2024-10-18,Lakmini Sivapragasam,Approved
16062,Initial Review,2024-11-12,Bandula Zuhair,Pending
16063,Medical Check,2025-03-23,Nuwan Fonseka,Hold
16063,Final Approval,2025-05-11,Nuwan Ranaweera,Approved
16064,Medical Check,2024-02-19,Hansika Jayaweera,Rejected
16065,Final Approval,2024-08-23,Chandrika Nanayakkara,Approved
16066,Initial Review,2024-07-14,Kithsiri Vithanage,Approved
16066,Visa Processing,2025-04-26,Lakmini Abeysinghe,Approved
16067,Medical Check,2025-04-29,Lasika Ibrahim,Pending
16067,Final Approval,2024-09-25,Lahiru Jayawardena,Approved
16068,Initial Review,2025-01-12,Shashika Basnayake,Rejected
16068,Visa Processing,2025-07-01,Janaka Peiris,Hold
16069,Final Approval,2025-07-11,Zahran Gamage,Hold
16069,Initial Review,2025-08-14,Erandika Jayaweera,Pending
16069,Visa Processing,2025-08-16,Oshini Nadarajah,Rejected
16070,Initial Review,2024-08-12,Prabha Fonseka,Rejected
16071,Initial Review,2025-03-25,Soha Kodithuwakku,Pending
16072,Initial Review,2024-12-18,Aloka Ekanayake,Hold
16072,Interview,2025-04-30,Dilshan Dissanayake,Pending
16073,Initial Review,2025-07-18,Ruwini Liyanage,Pending
16074,Visa Processing,2025-04-25,Kamal Liyanage,Rejected
16074,Final Approval,2024-09-19,Kithsiri Yogarajah,Hold
16074,Interview,2024-01-05,Rashmi Nadarajah,Pending
16075,Visa Processing,2025-07-08,Asanga Kumara,Pending
16076,Final Approval,2024-09-28,Harshani Ilangakoon,Approved
16076,Interview,2024-04-10,Prabha Alwis,Rejected
16076,Medical Check,2024-07-04,Jagath Ekanayake,Hold
16077,Medical Check,2025-07-02,Ruwini Opatha,Rejected
16077,Final Approval,2024-08-09,Nirosha Thangavelu,Hold
16078,Medical Check,2025-05-19,Zainab Hettiarachchi,Rejected
16078,Initial Review,2025-01-09,Vishaka Quintus,Approved
16079,Final Approval,2025-08-15,Ishani Ekanayake,Approved
16079,Medical Check,2025-06-06,Jagath Quintus,Pending
16080,Final Approval,2024-12-12,Vijitha Ilangakoon,Rejected
16080,Initial Review,2025-04-03,Gayan Dissanayake,Rejected
16081,Visa Processing,2025-08-02,Buddhini Sivapragasam,Rejected
16081,Initial Review,2025-07-18,Upeksha Thangavelu,Rejected
16081,Interview,2025-01-29,Udaya Gunawardena,Approved
16082,Initial Review,2025-05-12,Eshini Nanayakkara,Pending
16082,Interview,2025-06-19,Gayani Ratnayake,Approved
16083,Visa Processing,2025-01-09,Sarath Gamage,Approved
16084,Final Approval,2025-06-26,Lahiru Wickramasinghe,Hold
16084,Interview,2025-06-29,Shashika Fernando,Pending
16084,Initial Review,2025-06-13,Ranjith Thilakarathna,Rejected
16085,Initial Review,2025-08-11,Eshika Alwis,Hold
16085,Medical Check,2024-05-26,Ruwan Xavier,Rejected
16086,Medical Check,2025-04-18,Ayesha Quintus,Rejected
16087,Interview,2025-08-06,Kanchana Ponnambalam,Hold
16087,Visa Processing,2024-11-27,Sanduni Ponnambalam,Hold
16087,Final Approval,2024-09-11,Inoka Dharmasena,Approved
16088,Interview,2024-11-02,Madushan Opatha,Approved
16088,Initial Review,2024-04-27,Tharushi Zoysa,Pending
16088,Final Approval,2024-03-03,Achini Wijesinghe,Rejected
16089,Final Approval,2025-06-05,Bhagya Nanayakkara,Approved
16090,Initial Review,2025-02-26,Nalaka Quintus,Rejected
16091,Visa Processing,2024-10-04,Jayani Jaleel,Pending
16091,Medical Check,2024-09-24,Vijitha Sivapragasam,Rejected
16091,Interview,2025-05-26,Viraj Galappaththi,Pending
16092,Final Approval,2024-09-24,Indrani Ekanayake,Approved
16093,Initial Review,2025-03-01,Vijitha Rajapaksa,Approved
16093,Interview,2024-11-24,Asanga Opatha,Hold
16093,Final Approval,2025-01-29,Akila Quintus,Hold
16094,Final Approval,2025-01-31,Bandula Kulathunga,Hold
16094,Medical Check,2025-04-24,Yashodha Dharmasena,Approved
16095,Interview,2025-03-12,Chandrika Quintus,Pending
16095,Medical Check,2025-07-01,Hemantha Ekanayake,Pending
16095,Initial Review,2025-01-31,Yasara Perera,Pending
16096,Visa Processing,2024-10-22,Udeshika Ekanayake,Rejected
16096,Interview,2024-05-04,Sunil Zuhair,Rejected
16097,Initial Review,2024-10-07,Nirosha Herath,Rejected
16098,Initial Review,2025-06-27,Wasantha Yogarajah,Pending
16098,Final Approval,2025-08-15,Ranil Rizvi,Approved
16098,Interview,2025-06-21,Ruwan Weerasinghe,Pending
16099,Medical Check,2025-04-30,Lasantha Amarasinghe,Pending
16099,Interview,2025-07-22,Pradeep Cooray,Rejected
16099,Visa Processing,2024-06-09,Dilani Udayanga,Approved
16100,Visa Processing,2025-01-01,Fathima Thangavelu,Rejected
16101,Interview,2024-09-16,Tilak Zoysa,Hold
16102,Interview,2025-04-05,Madushika Amarasinghe,Hold
16102,Visa Processing,2025-04-27,Anjali Munasinghe,Pending
16102,Medical Check,2025-02-09,Harsha Jaleel,Pending
16103,Visa Processing,2025-07-02,Bhagya Fernando,Pending
16104,Medical Check,2025-07-29,Sana Galappaththi,Hold
16104,Final Approval,2025-07-25,Indrani Gamage,Rejected
16104,Interview,2025-08-02,Harshani Edirisinghe,Rejected
16105,Initial Review,2025-03-20,Hemantha Wickramasinghe,Pending
16106,Final Approval,2025-03-03,Dilani Quintus,Approved
16106,Medical Check,2025-07-05,Wathsala Wickramasinghe,Approved
16107,Initial Review,2024-10-24,Yasith Jayaweera,Hold
16108,Initial Review,2024-09-27,Chathurika Xavier,Pending
16109,Medical Check,2025-04-05,Rashmi Vithanage,Hold
16109,Interview,2025-06-29,Suranga de Silva,Pending
16110,Final Approval,2024-11-06,Gamini Ranaweera,Hold
16111,Visa Processing,2025-07-16,Dilshan Madugalle,Hold
16111,Interview,2025-05-16,Lalith Sivapragasam,Hold
16112,Visa Processing,2025-04-10,Nalaka Bandara,Rejected
16112,Medical Check,2024-09-07,Ahmed Ibrahim,Rejected
16112,Interview,2025-02-10,Aloka Jayawardena,Approved
16113,Visa Processing,2025-02-22,Hemantha Ekanayake,Approved
16113,Interview,2025-02-09,Hemantha Xavier,Pending
16114,Final Approval,2025-07-31,Fathima Samarasinghe,Rejected
16114,Medical Check,2025-08-18,Priyantha Ranaweera,Approved
16114,Visa Processing,2025-08-15,Saisha Jaleel,Pending
16115,Final Approval,2024-10-15,Kithsiri Pathirana,Pending
16115,Initial Review,2024-08-11,Yasith Perera,Pending
16115,Interview,2024-10-26,Duminda Jayaweera,Approved
16116,Interview,2024-11-16,Inoka Rizvi,Pending
16116,Medical Check,2025-02-23,Upul Ibrahim,Approved
16116,Final Approval,2024-06-03,Achini Dissanayake,Hold
16117,Interview,2024-08-01,Oshan Sivapragasam,Approved
16117,Medical Check,2024-12-18,Oshadi Rizvi,Approved
16118,Interview,2025-04-13,Isuri Perera,Approved
16118,Visa Processing,2025-05-13,Shashika Peiris,Hold
16119,Visa Processing,2024-07-13,Sarath Munasinghe,Pending
16120,Medical Check,2025-08-14,Akila Karunaratne,Pending
16120,Visa Processing,2025-08-12,Madushan Perera,Rejected
16121,Interview,2025-04-16,Kapila Vigneswaran,Hold
16121,Visa Processing,2024-10-31,Tharaka Basnayake,Approved
16121,Medical Check,2025-02-10,Sashika Wijesinghe,Hold
16122,Visa Processing,2024-10-05,Duminda Abeysinghe,Rejected
16122,Initial Review,2025-04-24,Dayan Weerakoon,Approved
16122,Medical Check,2024-12-30,Kamal Karunaratne,Approved
16123,Visa Processing,2025-02-01,Kapila Liyanage,Rejected
16124,Final Approval,2025-06-01,Madushan Rajapaksa,Approved
16125,Medical Check,2025-06-07,Zara Balasuriya,Hold
16126,Final Approval,2024-06-01,Isuri Fernando,Pending
16126,Visa Processing,2024-02-22,Sunil Kodithuwakku,Pending
16126,Medical Check,2024-05-02,Zainab Thilakarathna,Pending
16127,Interview,2024-03-18,Thushari Vigneswaran,Approved
16128,Visa Processing,2025-03-09,Tilak Balasuriya,Pending
16129,Medical Check,2024-03-25,Anjali Obeysekera,Rejected
16130,Medical Check,2025-05-15,Gamini Basnayake,Rejected
16130,Initial Review,2024-04-05,Viraj Udayanga,Hold
16131,Final Approval,2025-08-10,Nalaka Thangavelu,Pending
16131,Visa Processing,2025-08-01,Vijitha Herath,Approved
16131,Interview,2025-08-03,Ruwan Zoysa,Approved
16132,Final Approval,2025-02-11,Viraj Guneratne,Rejected
16133,Final Approval,2024-08-12,Abhaya Weerasinghe,Hold
16133,Interview,2024-03-16,Sunil Edirisinghe,Approved
16134,Medical Check,2025-06-02,Ajith Jayawardena,Rejected
16134,Interview,2024-01-30,Ayesha Zuhair,Rejected
16134,Visa Processing,2025-08-07,Chamara de Silva,Rejected
16135,Visa Processing,2024-09-29,Kanchana Chandrasekara,Pending
16136,Interview,2025-01-12,Saman Munasinghe,Approved
16136,Initial Review,2024-12-08,Chamara Ilangakoon,Hold
16136,Final Approval,2025-02-18,Eshini Munasinghe,Hold
16137,Interview,2025-03-17,Ishani Xavier,Approved
16137,Final Approval,2025-06-16,Tharaka Cooray,Rejected
16138,Interview,2024-11-21,Isuri Ekanayake,Hold
16138,Final Approval,2025-07-30,Nimal Quintus,Pending
16139,Visa Processing,2025-03-11,Mahesh Hewage,Rejected
16139,Initial Review,2025-04-08,Zara Zuhair,Hold
16140,Initial Review,2025-04-03,Bandula Abeysinghe,Rejected
16140,Final Approval,2025-02-27,Janani Bandara,Approved
16140,Interview,2025-07-26,Shashika Chandrasekara,Rejected
16141,Initial Review,2024-08-18,Buddhini Kodithuwakku,Hold
16141,Medical Check,2024-10-23,Nadeesha Zuhair,Rejected
16142,Visa Processing,2025-02-20,Eranga Perera,Approved
16142,Medical Check,2024-06-28,Wasanthi Zuhair,Hold
16142,Interview,2024-01-12,Lalith Rajapaksa,Pending
16143,Interview,2024-10-04,Dilshan Sivapragasam,Hold
16143,Final Approval,2024-12-15,Asanga Thangavelu,Rejected
16144,Medical Check,2024-07-14,Ranil Bandara,Approved
16145,Final Approval,2024-12-26,Adeesha Cooray,Rejected
16146,Final Approval,2025-04-13,Isuri Jayaweera,Pending
16146,Initial Review,2024-05-27,Viraj Wickramasinghe,Rejected
16147,Medical Check,2025-03-02,Gayan Ekanayake,Rejected
16147,Final Approval,2025-04-14,Rohan Thangavelu,Hold
16147,Initial Review,2025-06-28,Hiba Dias,Pending
16148,Interview,2024-11-13,Ranil Cooray,Approved
16148,Final Approval,2025-02-26,Ruwan Obeysekera,Rejected
16149,Medical Check,2025-06-08,Ruwan Jayaweera,Hold
16150,Interview,2025-03-14,Udeshika Abeysinghe,Pending
16150,Initial Review,2024-11-28,Tharushi Jayawardena,Hold
16151,Final Approval,2025-03-21,Eshika Xavier,Hold
16152,Final Approval,2025-07-19,Rohan Ponnambalam,Hold
16152,Visa Processing,2025-07-25,Prasad Yapa,Rejected
16153,Final Approval,2024-11-23,Gayan Lokuhetti,Rejected
16153,Interview,2024-05-24,Dilshan Wickramasinghe,Hold
16154,Interview,2024-07-04,Mohamed Dias,Pending
16154,Initial Review,2025-03-08,Sarath Zuhair,Pending
16155,Visa Processing,2024-11-06,Ranil Fonseka,Rejected
16155,Final Approval,2025-04-02,Priyantha Ilangakoon,Hold
16156,Final Approval,2024-09-24,Ranil Balasuriya,Rejected
16156,Interview,2024-10-23,Shashika Liyanage,Approved
16157,Medical Check,2024-11-18,Isuri Gamage,Pending
16157,Visa Processing,2025-04-18,Tharaka Gunawardena,Approved
16158,Initial Review,2025-06-16,Hansika Jayaweera,Approved
16159,Initial Review,2025-03-14,Chandrika Bandara,Rejected
16160,Visa Processing,2024-02-10,Kalani Fonseka,Hold
16160,Medical Check,2024-03-28,Rashmi Yapa,Rejected
16161,Visa Processing,2025-08-02,Suranga Ratnayake,Approved
16161,Interview,2024-11-15,Harshani Gamage,Approved
16161,Medical Check,2024-04-01,Chandana Zoysa,Pending
16162,Medical Check,2025-04-16,Hemantha Pathirana,Pending
16162,Final Approval,2025-04-16,Chandana Vithanage,Approved
16163,Visa Processing,2025-05-03,Priyantha Nadarajah,Approved
16163,Interview,2025-04-03,Nethmi Hettiarachchi,Rejected
16164,Initial Review,2025-06-03,Ruwan Amarasinghe,Approved
16164,Visa Processing,2025-01-01,Ishani Xavier,Pending
16165,Medical Check,2024-12-02,Lasika Zoysa,Approved
16165,Initial Review,2024-10-17,Ranil Ranaweera,Pending
16166,Interview,2025-08-09,Sashika Karunaratne,Approved
16166,Visa Processing,2025-08-16,Chamara Weerakoon,Pending
16167,Initial Review,2024-12-14,Eshika Ilangakoon,Rejected
16168,Visa Processing,2025-07-05,Pasindu Yapa,Approved
16168,Interview,2025-08-19,Asanga Chandrasekara,Pending
16168,Initial Review,2025-05-15,Gamini Edirisinghe,Approved
16169,Interview,2023-10-14,Inoka Karunaratne,Rejected
16169,Initial Review,2023-12-21,Ishani Weerasinghe,Rejected
